Lineups,GP,MIN,OffRtg,DefRtg,NetRtg,AST_PCT,REB_PCT,eFG_PCT,TS_PCT,PACE,PIE,Lineup_Type,Performance_Tier
S. Curry | D. Green | K. Looney | G. Payton II | B. Podziemski,1,1,0,133.3,-133.3,0,25,0,0,93.51,-22.2,,
S. Curry | D. Green | K. Looney | M. Moody | B. Podziemski,1,1,50,166.7,-116.7,100,50,50,50,122.93,11.1,,
S. Curry | D. Green | M. Moody | G. Santos | B. Podziemski,3,1,0,66.7,-66.7,0,50,0,0,114.59,100,,
S. Curry | D. Green | M. Moody | G. Santos | T. Jackson|Davis,1,1,300,200,100,100,100,33.3,43.6,45,75,,
S. Curry | G. Payton II | M. Moody | G. Santos | Q. Post,1,1,0,100,-100,0,80,0,0,110.77,233.3,,
S. Curry | J. Butler III | B. Hield | G. Payton II | Q. Post,1,1,200,66.7,133.3,50,100,100,100,144,100,,
S. Curry | J. Butler III | D. Green | B. Hield | G. Payton II,1,1,100,150,-50,0,0,50,50,134.58,16.7,,
S. Curry | J. Butler III | D. Green | G. Payton II | Q. Post,1,1,33.3,200,-166.7,0,0,0,56.8,118.03,-133.3,,
S. Curry | J. Butler III | D. Green | K. Looney | G. Payton II,1,1,100,100,0,0,25,0,85.2,253.27,140,,
S. Curry | J. Butler III | D. Green | K. Looney | M. Moody,1,1,0,200,-200,0,0,0,0,108,-150,,
S. Curry | J. Butler III | D. Green | M. Moody | T. Jackson|Davis,1,1,133.3,0,133.3,100,0,100,100,189.47,114.3,,
S. Curry | J. Butler III | G. Payton II | J. Kuminga | M. Moody,1,1,300,150,150,100,0,150,150,139.35,66.7,,
S. Curry | J. Butler III | G. Payton II | M. Moody | Q. Post,1,1,100,0,100,100,100,50,50,88.16,150,,
S. Curry | J. Butler III | J. Kuminga | B. Podziemski | Q. Post,1,1,0,0,0,0,0,0,0,81.13,100,,
S. Curry | J. Butler III | J. Kuminga | G. Santos | B. Podziemski,1,1,66.7,66.7,0,0,33.3,33.3,33.3,110.77,14.3,,
S. Curry | J. Butler III | J. Kuminga | M. Moody | B. Podziemski,2,1,0,100,-100,0,20,0,0,104.92,200,,
S. Curry | J. Butler III | J. Kuminga | M. Moody | Q. Post,1,1,233.3,200,33.3,50,0,125,121.5,91.14,70,,
S. Curry | J. Butler III | K. Looney | G. Payton II | G. Santos,1,1,0,100,-100,0,50,0,0,84.71,200,,
S. Curry | J. Butler III | K. Looney | J. Kuminga | M. Moody,1,1,50,200,-150,100,50,100,100,113.26,19,,
S. Curry | J. Butler III | K. Looney | M. Moody | B. Podziemski,1,1,0,0,0,0,100,0,0,90,66.7,,
S. Curry | J. Butler III | K. Looney | M. Moody | G. Santos,1,1,150,0,150,100,33.3,100,104.2,82.29,500,,
S. Curry | K. Knox II | M. Moody | B. Podziemski | Q. Post,1,1,150,100,50,0,50,150,150,97.63,66.7,,
S. Curry | K. Looney | B. Hield | G. Santos | B. Podziemski,2,1,0,0,0,0,33.3,0,0,128,0,,
S. Curry | K. Looney | B. Hield | J. Kuminga | B. Podziemski,1,1,100,133.3,-33.3,100,100,100,100,98.63,33.3,,
S. Curry | K. Looney | B. Hield | J. Kuminga | M. Moody,1,1,66.7,0,66.7,100,66.7,50,50,154.29,300,,
S. Curry | K. Looney | B. Hield | K. Knox II | M. Moody,1,1,100,0,100,100,80,37.5,37.5,92.31,233.3,,
S. Curry | K. Looney | G. Payton II | G. Santos | B. Podziemski,1,1,133.3,75,58.3,50,100,66.7,66.7,136.22,42.9,,
S. Curry | K. Looney | M. Moody | G. Santos | B. Podziemski,1,1,0,150,-150,0,0,0,0,139.35,-66.7,,
B. Hield | G. Payton II | J. Kuminga | G. Santos | T. Jackson|Davis,1,0,0,200,-200,0,0,0,0,130.91,-100,,
D. Green | J. Kuminga | P. Spencer | M. Moody | Q. Post,1,0,0,300,-300,0,0,0,0,90,-33.3,,
D. Green | K. Looney | J. Kuminga | M. Moody | B. Podziemski,1,0,0,0,0,0,0,0,0,144,0,,
J. Butler III | B. Hield | G. Payton II | M. Moody | Q. Post,1,0,0,0,0,0,0,0,0,0,0,,
J. Butler III | D. Green | G. Payton II | B. Podziemski | Q. Post,1,0,150,0,150,100,50,100,104.2,337.5,125,,
J. Butler III | D. Green | G. Payton II | G. Santos | B. Podziemski,1,0,0,300,-300,0,0,0,0,240,0,,
J. Butler III | D. Green | J. Kuminga | B. Podziemski | Q. Post,1,0,0,0,0,0,0,0,0,73.1,0,,
J. Butler III | D. Green | K. Looney | G. Payton II | J. Kuminga,1,0,0,0,0,0,0,0,0,221.54,0,,
J. Butler III | D. Green | K. Looney | G. Payton II | M. Moody,2,0,0,0,0,0,0,0,0,209.71,0,,
J. Butler III | D. Green | K. Looney | G. Santos | B. Podziemski,1,0,0,0,0,0,0,0,0,1600,0,,
J. Butler III | D. Green | K. Looney | J. Kuminga | M. Moody,1,0,0,0,0,0,0,0,0,73.47,0,,
J. Butler III | G. Payton II | M. Moody | G. Santos | T. Jackson|Davis,1,0,0,200,-200,0,0,0,0,97.96,-100,,
J. Butler III | K. Looney | B. Hield | M. Moody | T. Jackson|Davis,1,0,0,0,0,0,0,0,0,436.36,0,,
J. Butler III | K. Looney | G. Payton II | G. Santos | B. Podziemski,1,0,0,0,0,0,0,0,0,181.13,0,,
J. Butler III | K. Looney | G. Payton II | J. Kuminga | B. Podziemski,1,0,0,0,0,0,100,0,0,111.2,0,,
J. Butler III | K. Looney | G. Payton II | J. Kuminga | M. Moody,2,0,300,66.7,233.3,0,0,150,150,224.12,63.6,,
J. Butler III | K. Looney | G. Payton II | M. Moody | G. Santos,1,0,0,0,0,0,0,0,0,96,50,,
K. Knox II | P. Spencer | G. Santos | Y. Collins | J. Rowe,1,0,0,0,0,0,0,0,0,114.74,0,,
K. Looney | K. Knox II | M. Moody | G. Santos | B. Podziemski,1,0,0,300,-300,0,0,0,0,872.73,0,,
S. Curry | B. Hield | K. Knox II | M. Moody | Q. Post,1,0,200,100,100,0,0,100,100,148.97,66.7,,
S. Curry | B. Hield | M. Moody | G. Santos | Q. Post,1,0,0,0,0,0,50,0,0,200.93,0,,
S. Curry | D. Green | B. Hield | M. Moody | B. Podziemski,1,0,0,0,0,0,0,0,0,107.46,0,,
S. Curry | D. Green | K. Looney | J. Kuminga | B. Podziemski,1,0,0,0,0,0,0,0,0,2880.12,0,,
S. Curry | J. Butler III | K. Looney | G. Payton II | T. Jackson|Davis,1,0,0,0,0,0,100,0,0,4800.01,100,,
